Full Name,Email,Date of Birth,SSN,Phone Number,Gender,Street Address,Zip Code,City,Country,Marital Status,Education Level,Occupation,Annual Salary,Medical Condition,Credit Score
John Michael Smith,john.smith@gmail.com,1985-03-15,123-45-6789,555-123-4567,Male,123 Oak Street,10001,New York,USA,Single,Bachelors,Software Engineer,87500,Diabetes,720
Maria Garcia Lopez,maria.garcia@yahoo.com,1990-07-22,234-56-7890,555-234-5678,Female,456 Pine Avenue,90210,Los Angeles,USA,Married,Masters,Data Scientist,95000,Hypertension,680
Robert James Wilson,r.wilson@hotmail.com,1978-11-03,345-67-8901,555-345-6789,Male,789 Elm Road,60601,Chicago,USA,Divorced,Doctorate,Physician,145000,Heart Disease,750
Jennifer Anne Davis,jen.davis@outlook.com,1992-05-18,456-78-9012,555-456-7890,Female,321 Maple Lane,77001,Houston,USA,Single,Bachelors,Marketing Manager,72000,Depression,695
William Thomas Brown,will.brown@email.com,1983-09-27,567-89-0123,555-567-8901,Male,654 Cedar Drive,98101,Seattle,USA,Married,Masters,Financial Analyst,88000,Obesity,710
Sarah Elizabeth Miller,sarah.m@gmail.com,1995-01-12,678-90-1234,555-678-9012,Female,987 Birch Court,33101,Miami,USA,Single,Bachelors,Graphic Designer,58000,Anxiety,640
David Christopher Lee,david.lee@yahoo.com,1976-04-08,789-01-2345,555-789-0123,Male,147 Walnut Way,85001,Phoenix,USA,Widowed,Masters,Lawyer,125000,Arthritis,780
Emily Rose Johnson,emily.j@hotmail.com,1988-12-25,890-12-3456,555-890-1234,Female,258 Spruce Street,19101,Philadelphia,USA,Married,Bachelors,Teacher,52000,Asthma,670
Michael Andrew Taylor,m.taylor@outlook.com,1981-06-30,901-23-4567,555-901-2345,Male,369 Ash Boulevard,78201,San Antonio,USA,Divorced,Doctorate,Surgeon,185000,Back Pain,740
Jessica Lynn Anderson,jess.anderson@email.com,1993-08-14,012-34-5678,555-012-3456,Female,741 Hickory Place,02101,Boston,USA,Single,Masters,Research Scientist,78000,Allergies,705
Christopher Paul Martinez,chris.m@gmail.com,1979-02-21,111-22-3333,555-111-2222,Male,852 Poplar Road,75201,Dallas,USA,Married,Bachelors,Sales Director,92000,Cholesterol,725
Amanda Kate Robinson,amanda.r@yahoo.com,1991-10-09,222-33-4444,555-222-3333,Female,963 Willow Lane,30301,Atlanta,USA,Single,Bachelors,HR Specialist,61000,Migraine,655
Daniel Scott Clark,dan.clark@hotmail.com,1984-07-17,333-44-5555,555-333-4444,Male,159 Chestnut Ave,97201,Portland,USA,Married,Masters,Architect,95000,GERD,715
Lauren Michelle Lewis,lauren.l@outlook.com,1996-03-04,444-55-6666,555-444-5555,Female,267 Magnolia Drive,20001,Washington,USA,Single,Bachelors,Social Media Manager,54000,Eczema,630
Kevin James Walker,kevin.w@email.com,1977-11-28,555-66-7777,555-555-6666,Male,378 Sycamore Court,55401,Minneapolis,USA,Widowed,Doctorate,Professor,115000,Sleep Apnea,760
Stephanie Ann Hall,steph.hall@gmail.com,1989-05-23,666-77-8888,555-666-7777,Female,489 Redwood Street,94101,San Francisco,USA,Married,Masters,Product Manager,105000,Thyroid Disorder,690
Matthew Ryan Young,matt.young@yahoo.com,1982-09-11,777-88-9999,555-777-8888,Male,591 Cypress Way,80201,Denver,USA,Divorced,Bachelors,Mechanical Engineer,82000,Stress,700
Rachel Nicole King,rachel.k@hotmail.com,1994-01-29,888-99-0000,555-888-9999,Female,602 Sequoia Lane,73301,Austin,USA,Single,Bachelors,UX Designer,67000,Insomnia,665
Brian Patrick Wright,brian.w@outlook.com,1975-08-06,999-00-1111,555-999-0000,Male,713 Palm Boulevard,48201,Detroit,USA,Married,Masters,Operations Manager,98000,Diabetes,735
Nicole Marie Scott,nicole.s@email.com,1987-12-14,000-11-2222,555-000-1111,Female,824 Olive Road,23219,Richmond,USA,Single,Bachelors,Journalist,56000,Hypertension,645
Andrew Joseph Green,andrew.g@gmail.com,1980-04-19,121-32-4343,555-121-3232,Male,935 Fig Avenue,64101,Kansas City,USA,Married,Doctorate,Dentist,135000,Back Pain,755
Megan Elizabeth Adams,megan.a@yahoo.com,1992-06-07,232-43-5454,555-232-4343,Female,146 Cherry Court,37201,Nashville,USA,Divorced,Masters,Financial Planner,88000,Depression,680
Jason Michael Baker,jason.b@hotmail.com,1986-10-31,343-54-6565,555-343-5454,Male,257 Plum Street,70112,New Orleans,USA,Single,Bachelors,Civil Engineer,76000,Obesity,695
Christina Lee Nelson,chris.nelson@outlook.com,1997-02-16,454-65-7676,555-454-6565,Female,368 Peach Lane,84101,Salt Lake City,USA,Married,Bachelors,Nurse,62000,Anxiety,660
Timothy David Carter,tim.carter@email.com,1974-07-25,565-76-8787,555-565-7676,Male,479 Apricot Way,15201,Pittsburgh,USA,Widowed,Masters,IT Director,118000,Heart Disease,745
Heather Ann Mitchell,heather.m@gmail.com,1990-09-03,676-87-9898,555-676-8787,Female,581 Banana Drive,32801,Orlando,USA,Single,Bachelors,Event Planner,53000,Allergies,635
Ryan Christopher Perez,ryan.p@yahoo.com,1983-01-20,787-98-0909,555-787-9898,Male,692 Raspberry Road,92101,San Diego,USA,Married,Masters,Marketing Director,102000,Migraine,720
Samantha Joy Roberts,sam.roberts@hotmail.com,1995-05-08,898-09-1010,555-898-0909,Female,703 Blueberry Ave,28201,Charlotte,USA,Single,Bachelors,Content Writer,48000,Asthma,650
Justin Lee Turner,justin.t@outlook.com,1978-11-12,909-10-2121,555-909-1010,Male,814 Blackberry Court,43201,Columbus,USA,Divorced,Doctorate,Research Director,125000,Cholesterol,765
Ashley Marie Phillips,ashley.p@email.com,1988-03-27,010-21-3232,555-010-2121,Female,925 Cranberry Lane,46201,Indianapolis,USA,Married,Masters,Accountant,79000,Thyroid Disorder,685
Brandon James Campbell,brandon.c@gmail.com,1981-08-15,131-42-5353,555-131-4242,Male,136 Gooseberry Street,53201,Milwaukee,USA,Single,Bachelors,Software Developer,84000,Stress,705
