Name,Email,Age,SSN,Phone,Gender,Address,Zip Code,City Region,Country,Marital Status,Education Level,Occupation Category,Salary,Health Status,Credit Range
J*** S****,5d41402abc4b2a76b9719d911017c592,30-40,***-**-6789,***-***-4567,Male,*** Oak ***,100**,Northeast,USA,Single,Bachelors,Technology,80000-100000,Chronic,700-750
M*** G****,7d793037a0760186574b0282f2f435e7,30-40,***-**-7890,***-***-5678,Male,*** Pine ***,100**,Northeast,USA,Single,Bachelors,Technology,80000-100000,Chronic,700-750
R*** W****,6c569aabbf7775ef8fc570e228c16b98,30-40,***-**-8901,***-***-6789,Male,*** Elm ***,100**,Northeast,USA,Single,Bachelors,Technology,80000-100000,Chronic,700-750
J*** D****,3c59dc048e8850243be8079a5c74d079,30-40,***-**-9012,***-***-7890,Male,*** Maple ***,100**,Northeast,USA,Single,Bachelors,Technology,80000-100000,Acute,700-750
T*** H****,b0baee9d279d34fa1dfd71aadb908c3f,30-40,***-**-0123,***-***-8901,Male,*** Cedar ***,100**,Northeast,USA,Single,Bachelors,Technology,80000-100000,Acute,700-750
W*** B****,37b51d194a7513e45b56f6524f2d51f2,40-50,***-**-1234,***-***-9012,Female,*** Birch ***,900**,West,USA,Married,Masters,Business,100000-120000,Chronic,750-800
S*** M****,1ff1de774005f8da13f42943881c655f,40-50,***-**-2345,***-***-0123,Female,*** Walnut ***,900**,West,USA,Married,Masters,Business,100000-120000,Chronic,750-800
D*** L***,8e296a067a37563370ded05f5a3bf3ec,40-50,***-**-3456,***-***-1234,Female,*** Spruce ***,900**,West,USA,Married,Masters,Business,100000-120000,Chronic,750-800
E*** J****,4e732ced3463d06de0ca9a15b6153677,40-50,***-**-4567,***-***-2345,Female,*** Ash ***,900**,West,USA,Married,Masters,Business,100000-120000,Acute,750-800
L*** K****,02e74f10e0327ad868d138f2b4fdd6f0,40-50,***-**-5678,***-***-3456,Female,*** Hickory ***,900**,West,USA,Married,Masters,Business,100000-120000,Acute,750-800
M*** T****,33e75ff09dd601bbe69f351039152189,50-60,***-**-6666,***-***-4444,Male,*** Poplar ***,600**,Midwest,USA,Divorced,Doctorate,Healthcare,120000-150000,Chronic,650-700
J*** A****,6ea9ab1baa0efb9e19094440c317e21b,50-60,***-**-7777,***-***-5555,Male,*** Willow ***,600**,Midwest,USA,Divorced,Doctorate,Healthcare,120000-150000,Chronic,650-700
C*** M****,34173cb38f07f89ddbebc2ac9128303f,50-60,***-**-8888,***-***-6666,Male,*** Chestnut ***,600**,Midwest,USA,Divorced,Doctorate,Healthcare,120000-150000,Chronic,650-700
A*** R****,c16a5320fa475530d9583c34fd356ef5,50-60,***-**-9999,***-***-7777,Male,*** Magnolia ***,600**,Midwest,USA,Divorced,Doctorate,Healthcare,120000-150000,Acute,650-700
P*** N****,6364d3f0f495b6ab9dcf8d3b5c6e0b01,50-60,***-**-0000,***-***-8888,Male,*** Sycamore ***,600**,Midwest,USA,Divorced,Doctorate,Healthcare,120000-150000,Acute,650-700
D*** C****,182be0c5cdcd5072bb1864cdee4d3d6e,20-30,***-**-1111,***-***-9999,Female,*** Redwood ***,700**,South,USA,Single,Bachelors,Creative,60000-80000,Chronic,600-650
L*** L****,e369853df766fa44e1ed0ff613f563bd,20-30,***-**-2222,***-***-0000,Female,*** Cypress ***,700**,South,USA,Single,Bachelors,Creative,60000-80000,Chronic,600-650
K*** W****,1c383cd30b7c298ab50293adfecb7b18,20-30,***-**-3333,***-***-1111,Female,*** Sequoia ***,700**,South,USA,Single,Bachelors,Creative,60000-80000,Chronic,600-650
S*** H***,19ca14e7ea6328a42e0eb13d585e4c22,20-30,***-**-4444,***-***-2222,Female,*** Palm ***,700**,South,USA,Single,Bachelors,Creative,60000-80000,Acute,600-650
N*** F****,a5bfc9e07964f8dddeb95fc584cd965d,20-30,***-**-5555,***-***-3333,Female,*** Olive ***,700**,South,USA,Single,Bachelors,Creative,60000-80000,Acute,600-650
M*** Y****,a5771bce93e200c36f7cd9dfd0e5deaa,30-40,***-**-6666,***-***-4444,Female,*** Fig ***,800**,West,USA,Married,Masters,Engineering,80000-100000,Chronic,700-750
R*** K***,d67d8ab4f4c10bf22aa353e27879133c,30-40,***-**-7777,***-***-5555,Female,*** Cherry ***,800**,West,USA,Married,Masters,Engineering,80000-100000,Chronic,700-750
B*** W****,3c59dc048e8850243be8079a5c74d079,30-40,***-**-8888,***-***-6666,Female,*** Plum ***,800**,West,USA,Married,Masters,Engineering,80000-100000,Chronic,700-750
N*** S****,70efdf2ec9b086079795c442636b55fb,30-40,***-**-9999,***-***-7777,Female,*** Peach ***,800**,West,USA,Married,Masters,Engineering,80000-100000,Acute,700-750
O*** P****,6f4922f45568161a8cdf4ad2299f6d23,30-40,***-**-0000,***-***-8888,Female,*** Apricot ***,800**,West,USA,Married,Masters,Engineering,80000-100000,Acute,700-750
A*** G****,1f0e3dad99908345f7439f8ffabdffc4,40-50,***-**-1111,***-***-9999,Male,*** Banana ***,300**,Southeast,USA,Divorced,Doctorate,Medical,100000-120000,Chronic,750-800
M*** A****,98f13708210194c475687be6106a3b84,40-50,***-**-2222,***-***-0000,Male,*** Raspberry ***,300**,Southeast,USA,Divorced,Doctorate,Medical,100000-120000,Chronic,750-800
J*** B****,3c59dc048e8850243be8079a5c74d079,40-50,***-**-3333,***-***-1111,Male,*** Blueberry ***,300**,Southeast,USA,Divorced,Doctorate,Medical,100000-120000,Chronic,750-800
C*** N****,b6d767d2f8ed5d21a44b0e5886680cb9,40-50,***-**-4444,***-***-2222,Male,*** Blackberry ***,300**,Southeast,USA,Divorced,Doctorate,Medical,100000-120000,Acute,750-800
F*** R****,37693cfc748049e45d87b8c7d8b9aacd,40-50,***-**-5555,***-***-3333,Male,*** Cranberry ***,300**,Southeast,USA,Divorced,Doctorate,Medical,100000-120000,Acute,750-800
T*** C****,1ff1de774005f8da13f42943881c655f,50-60,***-**-6666,***-***-4444,Female,*** Gooseberry ***,400**,Midwest,USA,Widowed,Masters,Management,100000-120000,Chronic,650-700
H*** M****,8e296a067a37563370ded05f5a3bf3ec,50-60,***-**-7777,***-***-5555,Female,*** Elderberry ***,400**,Midwest,USA,Widowed,Masters,Management,100000-120000,Chronic,650-700
R*** P****,4e732ced3463d06de0ca9a15b6153677,50-60,***-**-8888,***-***-6666,Female,*** Mulberry ***,400**,Midwest,USA,Widowed,Masters,Management,100000-120000,Chronic,650-700
S*** R****,02e74f10e0327ad868d138f2b4fdd6f0,50-60,***-**-9999,***-***-7777,Female,*** Boysenberry ***,400**,Midwest,USA,Widowed,Masters,Management,100000-120000,Acute,650-700
V*** T****,33e75ff09dd601bbe69f351039152189,50-60,***-**-0000,***-***-8888,Female,*** Lingonberry ***,400**,Midwest,USA,Widowed,Masters,Management,100000-120000,Acute,650-700
